state,budget,app_count,green,yellow,red
AL ,147325,17,14,3,0
AR ,84130,18,8,9,1
AZ ,22874,4,2,2,0
CA ,42647,19,4,5,10
CO ,9111,7,1,1,5
CT ,10856,6,1,1,4
DE ,8723,3,1,1,1
FL ,165934,32,16,16,0
GA ,169036,31,17,14,0
IA ,46911,10,4,5,1
IL ,106229,35,10,11,14
IN ,101770,14,10,4,0
KS ,45748,7,4,3,0
KY ,102934,34,10,11,13
LA ,108361,18,11,7,0
MA ,8723,12,1,1,10
MD ,26557,12,2,3,7
ME ,10662,6,1,1,4
MI ,100607,25,10,10,5
MN ,26363,8,2,3,3
MO ,100414,16,10,6,0
MS ,99250,18,10,8,0
NC ,158374,22,16,6,0
ND ,5040,1,1,0,0
NE ,23843,7,2,3,2
NH ,6979,3,1,0,2
NJ ,25782,11,2,3,6
NM ,19385,8,2,2,4
NV ,4265,2,1,0,1
NY ,89946,41,9,9,23
OH ,154691,26,15,11,0
OK ,85681,13,8,5,0
OR ,10080,3,1,1,1
PA ,143060,35,14,15,6
RI ,3102,2,1,0,1
SC ,105066,14,10,4,0
SD ,10080,1,1,0,0
TN ,151202,45,15,15,15
TX ,287865,55,29,26,0
UT ,2132,1,1,0,0
VA ,81223,21,8,8,5
VT ,6979,1,1,0,0
WI ,33148,16,3,4,9
WV ,46911,6,4,2,0
